date,conflict_phase,airline,iata_code,origin,destination,original_distance_km,price,estimated_passengers,route_revenue_usd,fuel_pct_of_cost
2023-04,Stabilisation,Emirates,EK,Dubai,Singapore,5845,679.12,266,180645.92,97.46
2023-05,Stabilisation,Emirates,EK,Dubai,Singapore,5845,751.74,250,187935,97.66
2023-06,Stabilisation,Emirates,EK,Dubai,Singapore,5845,743.25,238,176893.5,97.64
2023-07,Stabilisation,Emirates,EK,Dubai,Singapore,5845,643.09,270,173634.3,97.35
2023-08,Stabilisation,Emirates,EK,Dubai,Singapore,5845,712.74,251,178897.74,97.56
2023-09,Stabilisation,Emirates,EK,Dubai,Singapore,5845,567.8,248,140814.4,97.07
2023-10,Gaza-Israel Conflict,Emirates,EK,Dubai,Singapore,5845,583.21,265,154550.65,97.13
2023-11,Gaza-Israel Conflict,Emirates,EK,Dubai,Singapore,5845,545.91,224,122283.84,96.97
2023-12,Gaza-Israel Conflict,Emirates,EK,Dubai,Singapore,5845,623.72,253,157801.16,97.28
2024-01,Gaza-Israel Conflict,Emirates,EK,Dubai,Singapore,5845,655.16,232,151997.12,97.39
2024-02,Gaza-Israel Conflict,Emirates,EK,Dubai,Singapore,5845,606.69,211,128011.59,97.22
2024-03,Gaza-Israel Conflict,Emirates,EK,Dubai,Singapore,5845,709.84,266,188817.44,97.55
2024-04,Gaza-Israel Conflict,Emirates,EK,Dubai,Singapore,5845,677.57,245,166004.65,97.46
2024-05,Gaza-Israel Conflict,Emirates,EK,Dubai,Singapore,5845,620.55,277,171892.35,97.27
2024-06,Gaza-Israel Conflict,Emirates,EK,Dubai,Singapore,5845,654.67,247,161703.49,97.39
2024-07,Gaza-Israel Conflict,Emirates,EK,Dubai,Singapore,5845,614.84,210,129116.4,97.25
2024-08,Gaza-Israel Conflict,Emirates,EK,Dubai,Singapore,5845,759.67,240,182320.8,97.68
2024-09,Gaza-Israel Conflict,Emirates,EK,Dubai,Singapore,5845,588.99,222,130755.78,97.15
2024-10,Gaza-Israel Conflict,Emirates,EK,Dubai,Singapore,5845,766.87,279,213956.73,97.69
2024-11,Gaza-Israel Conflict,Emirates,EK,Dubai,Singapore,5845,737.3,243,179163.9,97.62
2024-12,Pre-Iran Escalation,Emirates,EK,Dubai,Singapore,5845,607.72,248,150714.56,97.22
2025-01,Pre-Iran Escalation,Emirates,EK,Dubai,Singapore,5845,675.61,237,160119.57,97.45
2025-02,Pre-Iran Escalation,Emirates,EK,Dubai,Singapore,5845,831.34,249,207003.66,97.83
2025-03,Pre-Iran Escalation,Emirates,EK,Dubai,Singapore,5845,829.42,216,179154.72,97.83
2025-04,Pre-Iran Escalation,Emirates,EK,Dubai,Singapore,5845,834.81,244,203693.64,97.84
2025-05,Pre-Iran Escalation,Emirates,EK,Dubai,Singapore,5845,836.03,259,216531.77,97.84
2025-06,Pre-Iran Escalation,Emirates,EK,Dubai,Singapore,5845,646.05,237,153113.85,97.36
2025-07,Pre-Iran Escalation,Emirates,EK,Dubai,Singapore,5845,764.33,239,182674.87,97.69
2025-08,Pre-Iran Escalation,Emirates,EK,Dubai,Singapore,5845,671.12,272,182544.64,97.44
2025-09,Pre-Iran Escalation,Emirates,EK,Dubai,Singapore,5845,825.78,250,206445,97.82
2025-10,Pre-Iran Escalation,Emirates,EK,Dubai,Singapore,5845,759.67,254,192956.18,97.68
2025-11,Pre-Iran Escalation,Emirates,EK,Dubai,Singapore,5845,738.89,232,171422.48,97.62
2025-12,US-Iran War Conflict,Emirates,EK,Dubai,Singapore,5845,1059.23,214,226675.22,98.45
2026-01,US-Iran War Conflict,Emirates,EK,Dubai,Singapore,5845,1074.65,270,290155.5,98.45
2026-02,US-Iran War Conflict,Emirates,EK,Dubai,Singapore,5845,1363.94,267,364171.98,98.7
2026-03,US-Iran War Conflict,Emirates,EK,Dubai,Singapore,5845,1444.78,0,0,98.81
2019-01,Pre-Pandemic Baseline,Emirates,EK,Dubai,Sydney,12003,958.18,281,269248.58,96.76
2019-02,Pre-Pandemic Baseline,Emirates,EK,Dubai,Sydney,12003,1067.57,223,238068.11,97.03
2019-03,Pre-Pandemic Baseline,Emirates,EK,Dubai,Sydney,12003,992.92,235,233336.2,96.85
2019-04,Pre-Pandemic Baseline,Emirates,EK,Dubai,Sydney,12003,939.5,246,231117,96.7
2019-05,Pre-Pandemic Baseline,Emirates,EK,Dubai,Sydney,12003,933.94,281,262437.14,96.69
2019-06,Pre-Pandemic Baseline,Emirates,EK,Dubai,Sydney,12003,938.29,253,237387.37,96.7
2019-07,Pre-Pandemic Baseline,Emirates,EK,Dubai,Sydney,12003,906.13,277,250998.01,96.6
2019-08,Pre-Pandemic Baseline,Emirates,EK,Dubai,Sydney,12003,1042.78,252,262780.56,96.97
2019-09,Pre-Pandemic Baseline,Emirates,EK,Dubai,Sydney,12003,976.49,225,219710.25,96.81
2019-10,Pre-Pandemic Baseline,Emirates,EK,Dubai,Sydney,12003,994.45,252,250601.4,96.85
2019-11,Pre-Pandemic Baseline,Emirates,EK,Dubai,Sydney,12003,888.89,217,192889.13,96.55
2019-12,Pre-Pandemic Baseline,Emirates,EK,Dubai,Sydney,12003,980.6,218,213770.8,96.82
